Sample_ID	Day	Hive	Site	Specimen	Treatment	S16S_log10
d0_P1a	d0	P1	P	1	ProB	8.241474147
d0_P1b	d0	P1	P	2	ProB	8.139255591
d0_P1c	d0	P1	P	3	ProB	8.140722406
d0_P1d	d0	P1	P	4	ProB	8.526677668
d0_P1e	d0	P1	P	5	ProB	8.130729739
d0_P1f	d0	P1	P	6	ProB	7.955262192
d0_P1g	d0	P1	P	7	ProB	6.448386504
d0_P10a	d0	P10	P	8	Tet	7.643105976
d0_P10b	d0	P10	P	9	Tet	8.02484415
d0_P10c	d0	P10	P	10	Tet	7.892647599
d0_P10d	d0	P10	P	11	Tet	7.721763842
d0_P10e	d0	P10	P	12	Tet	7.386596994
d0_P10f	d0	P10	P	13	Tet	7.686468647
d0_P10g	d0	P10	P	14	Tet	8.033186653
d0_P11a	d0	P11	P	15	Tet	7.884946829
d0_P11b	d0	P11	P	16	Tet	7.414008067
d0_P11c	d0	P11	P	17	Tet	8.298954895
d0_P11d	d0	P11	P	18	Tet	7.912541254
d0_P11e	d0	P11	P	19	Tet	7.45975431
d0_P11f	d0	P11	P	20	Tet	7.428492849
d0_P11g	d0	P11	P	21	Tet	8.411807847
d0_P12a	d0	P12	P	22	ProB	8.156123947
d0_P12b	d0	P12	P	23	ProB	7.845434543
d0_P12c	d0	P12	P	24	ProB	8.701136779
d0_P12d	d0	P12	P	25	ProB	7.948569857
d0_P12e	d0	P12	P	26	ProB	8.017876788
d0_P12f	d0	P12	P	27	ProB	8.156398974
d0_P12g	d0	P12	P	28	ProB	8.403465347
d0_P13a	d0	P13	P	29	Ctl	8.404473782
d0_P13b	d0	P13	P	30	Ctl	6.635221856
d0_P13c	d0	P13	P	31	Ctl	7.611386139
d0_P13d	d0	P13	P	32	Ctl	6.914008067
d0_P13e	d0	P13	P	33	Ctl	8.063806381
d0_P13f	d0	P13	P	34	Ctl	7.45315365
d0_P13g	d0	P13	P	35	Ctl	7.403465347
d0_P6a	d0	P6	P	36	Ctl	8.062706271
d0_P6b	d0	P6	P	37	Ctl	8.491382472
d0_P6c	d0	P6	P	38	Ctl	7.72955629
d0_P6d	d0	P6	P	39	Ctl	8.386321966
d0_P6e	d0	P6	P	40	Ctl	7.859094244
d0_P6f	d0	P6	P	41	Ctl	8.241932528
d0_P6g	d0	P6	P	42	Ctl	7.872478914
d0_P8a	d0	P8	P	43	Ctl	7.307114046
d0_P8b	d0	P8	P	44	Ctl	8.053813716
d0_P8c	d0	P8	P	45	Ctl	8.04794646
d0_P8d	d0	P8	P	46	Ctl	7.809039238
d0_P8e	d0	P8	P	47	Ctl	7.578474513
d0_P8f	d0	P8	P	48	Ctl	8.22313898
d0_P8g	d0	P8	P	49	Ctl	8.161807847
d0_Q1a	d0	Q1	Q	50	Tet	7.73349835
d0_Q1b	d0	Q1	Q	51	Tet	7.354327098
d0_Q1c	d0	Q1	Q	52	Tet	7.299779978
d0_Q1d	d0	Q1	Q	53	Tet	7.387513751
d0_Q1e	d0	Q1	Q	54	Tet	7.581408141
d0_Q1f	d0	Q1	Q	55	Tet	7.27136047
d0_Q1g	d0	Q1	Q	56	Tet	7.326824348
d0_Q10a	d0	Q10	Q	57	Tet	7.427026037
d0_Q10b	d0	Q10	Q	58	Tet	8.075082508
d0_Q10c	d0	Q10	Q	59	Tet	7.885863586
d0_Q10d	d0	Q10	Q	60	Tet	7.844151081
d0_Q10e	d0	Q10	Q	61	Tet	7.892005866
d0_Q10f	d0	Q10	Q	62	Tet	8.290795745
d0_Q10g	d0	Q10	Q	63	Tet	8.062614596
d0_Q11a	d0	Q11	Q	64	Ctl	7.856985699
d0_Q11b	d0	Q11	Q	65	Ctl	7.893289329
d0_Q11c	d0	Q11	Q	66	Ctl	7.656857351
d0_Q11d	d0	Q11	Q	67	Ctl	8.349009901
d0_Q11e	d0	Q11	Q	68	Ctl	8.136046939
d0_Q11f	d0	Q11	Q	69	Ctl	8.084616796
d0_Q11g	d0	Q11	Q	70	Ctl	8.641089109
d0_Q12a	d0	Q12	Q	71	Ctl	8.173359002
d0_Q12b	d0	Q12	Q	72	Ctl	8.047854785
d0_Q12c	d0	Q12	Q	73	Ctl	8.000916757
d0_Q12d	d0	Q12	Q	74	Ctl	7.4476531
d0_Q12e	d0	Q12	Q	75	Ctl	8.082049871
d0_Q12f	d0	Q12	Q	76	Ctl	8.180326367
d0_Q12g	d0	Q12	Q	77	Ctl	7.851393474
d0_Q13a	d0	Q13	Q	78	Ctl	6.834216178
d0_Q13b	d0	Q13	Q	79	Ctl	8.038797423
d0_Q13c	d0	Q13	Q	80	Ctl	5.390551181
d0_Q13d	d0	Q13	Q	81	Ctl	7.35876879
d0_Q13e	d0	Q13	Q	82	Ctl	7.975805297
d0_Q13f	d0	Q13	Q	83	Ctl	8.02591267
d0_Q13g	d0	Q13	Q	84	Ctl	7.399141016
d0_Q14a	d0	Q14	Q	85	Ctl	8.752326414
d0_Q14b	d0	Q14	Q	86	Ctl	7.759914102
d0_Q14c	d0	Q14	Q	87	Ctl	8.480314961
d0_Q14d	d0	Q14	Q	88	Ctl	8.156764495
d0_Q14e	d0	Q14	Q	89	Ctl	6.342304939
d0_Q14f	d0	Q14	Q	90	Ctl	8.313099499
d0_Q14g	d0	Q14	Q	91	Ctl	8.234073014
d0_Q2a	d0	Q2	Q	92	ProB	7.817290063
d0_Q2b	d0	Q2	Q	93	ProB	8.023835718
d0_Q2c	d0	Q2	Q	94	ProB	7.564081408
